type,sendTime,sender,senderPseudo,messageID,class,posx,posy,posz,spdx,spdy,spdz,aclx,acly,aclz,hedx,hedy,hedz,label
4,42040.54399075289,54621,10546214,163992288,0,1197.0479655301754,971.4406742955792,0.0,-12.633403972874463,-2.2670872340956603,0.0,-0.221158990967799,-0.039632437564738,0.0,-0.993458574347466,-0.114193086723756,0.0,0
4,60867.92895254074,89451,10894516,265758513,13,217.7534730328431,893.8796138517923,0.0,-2.043805964008291,6.38409116989418,0.0,-0.570363854968527,1.78422276638664,0.0,-0.087664504122384,0.996150056325339,0.0,1
4,37525.00244518323,48075,350480753,149306653,17,140.5535442176296,877.1232462223231,0.0,0.000397847477236,0.000397847477236,0.0,0.000408343488355,0.000408343488355,0.0,0.007107822557122,0.999974739110192,0.0,1
4,17810.165960041108,1911,1019111,1902727,1,489.2311205420261,234.6426041196415,0.0,3.118938746e-06,3.118938746e-06,0.0,1.6243912421e-05,1.6243912421e-05,0.0,-0.02474031139857,0.999693911650912,0.0,1
4,45509.85410711635,60117,10601174,178515045,0,159.65449692059357,846.0504706338118,0.0,1.702815553966219,-13.800187804331085,0.0,-0.029754446058947,0.245601715365617,0.0,-0.085840254942647,-0.996308913255011,0.0,0
4,73011.29363011732,132771,101327717,431851754,13,907.387416230141,477.1931816910053,0.0,-3.57029602774419,10.564574306166415,0.0,-0.028977763299924,0.088307620709323,0.0,-0.281836022108404,0.959462587411364,0.0,1
4,76346.10759194079,137631,101376317,442055424,12,218.02698947179093,358.55602862164915,0.0,-1.855488085783428,12.504043539850317,0.0,0.5373813385271421,-3.620381971003137,0.0,-0.117786975009073,0.993038885702977,0.0,1
4,47624.54160376848,65205,10652054,194511110,0,904.626813491273,677.2635112748619,0.0,-8.477152391822786,8.5623694865384,0.0,1.679388008921097,-1.6953281519367311,0.0,-0.631475468538783,0.775395855440125,0.0,0
4,36666.41598027549,46269,10462693,144453023,0,912.9572472220258,602.5390996530532,0.0,-6.051354147515747,-13.670301529812782,0.0,-0.33380084641417,-0.754838064219401,0.0,-0.527167187159871,-0.8497615882010371,0.0,0
4,85627.59488909108,147273,101472738,457638224,15,561.3713185504082,328.423024572736,0.0,12.698075026247274,4.336930930330565,0.0,-0.133634107591348,-0.045570536814085,0.0,0.9521666055415552,0.305579376417113,0.0,1
4,35099.88068737765,42873,10428733,135418728,11,638.7707110504682,693.3963376276404,0.0,-4.0652960675179735,-1.831477535129315,0.0,1.9096557982382047,0.860595069569405,0.0,-0.9999424212360012,-0.010730993089344,0.0,1
4,21964.91628929856,4875,1048752,6464189,11,1002.5469661937292,921.8004612754517,0.0,-12.957309312180392,-4.375359350048405,0.0,0.127139165278497,0.043082495092372,0.0,-0.9982883674268472,0.058483634123061,0.0,1
4,22521.33915525721,5517,1055172,7615030,0,1076.469249072332,950.7965740709516,0.0,13.149184172286072,3.3900182756884902,0.0,0.127561644682761,0.034243709849884,0.0,0.9953334289260032,0.096495415758491,0.0,0
4,76925.79978460004,138327,101383277,443210320,0,755.7762684331652,541.4754217477437,0.0,-14.58729052742167,0.018363126710611,0.0,0.160192365630763,0.000171827905509,0.0,-0.998939032748652,0.04605224045784,0.0,0
4,61219.24048550869,90783,10907836,268693214,0,176.31110152530226,697.3374053300502,0.0,2.215369704259555,-14.564146418056003,0.0,0.007033938250587,-0.046169630002381,0.0,0.145877995391959,-0.9893025879175812,0.0,0
4,44829.92914438271,59091,290590914,175122559,17,261.09533636350835,781.3017160194142,0.0,-7.675601983960762,-1.015041933152862,0.0,1.311800581509206,0.173560740016843,0.0,-0.981330080436774,0.192331155120417,0.0,1
4,29961.791775623104,25467,10254672,70142605,0,916.078327828747,460.3089913777382,0.0,1.218203510390614,-3.605096777684844,0.0,-0.7773351333180031,2.304417894286207,0.0,0.31183607296087,-0.9501359184876352,0.0,0
4,27924.92250971729,18315,10183152,42900274,12,1290.0505237330274,980.5704186540786,0.0,-10.409085751351704,-8.291073438770562,0.0,0.5691723068775,0.453403250540839,0.0,-0.8467192830282041,-0.532039900522699,0.0,1
4,75720.76711987099,136965,101369657,440619104,0,637.5986002378436,420.28644579313936,0.0,-12.889768659291512,-4.973096897398699,0.0,0.027454670509952,0.010720639104249,0.0,-0.943419707257942,-0.33160104939119,0.0,0
4,64674.90171486232,101937,101019376,313259330,0,287.9825336470737,226.72287960515672,0.0,0.002594529764648,0.002594529764648,0.0,0.002713629455114,0.002713629455114,0.0,-0.989616254661886,-0.143734715740425,0.0,0
4,79401.49599628942,141087,101410877,447848226,0,275.81284056610457,48.7300208883154,0.0,1.610738293744467,-14.366536041448317,0.0,-0.004111402168771,0.037640709594417,0.0,0.042018532824567,-0.999116831456297,0.0,0
4,53012.6052423066,77553,10775535,235926749,10,198.97994601324265,558.134430661977,0.0,4.0184869719000005e-05,4.0184869719000005e-05,0.0,5.613943203000001e-06,5.613943203000001e-06,0.0,0.054463185969035,-0.998515779231406,0.0,1
4,54685.44668799918,79575,10795755,240023287,13,181.57291655762316,894.7491113654853,0.0,10.817392116722942,1.441097890577053,0.0,0.946682459526502,0.126142986468688,0.0,0.9956696491691952,0.092962087558804,0.0,1
4,80228.73085651989,141975,101419758,449352628,6,507.8387790531692,633.6219797916541,0.0,9.219269737334928,14.463151917235894,0.0,0.521336559344952,0.8988576782669351,0.0,0.532880291610763,0.8461906373937421,0.0,1
4,66747.72183105489,110553,1,345061210,16,910.1729374220014,596.6010322698729,0.0,-0.491742345268053,-0.7458791903764921,0.0,-0.479651893198825,-0.724235127767858,0.0,0.5971711188727891,0.8021138664704781,0.0,1
4,44749.56018348993,58839,10588394,174586032,0,895.1352338950203,501.50994191261634,0.0,-7.063776552601243,5.500919652775903,0.0,0.615598703857002,-0.476840738283338,0.0,-0.780147091743659,0.625596127900348,0.0,0
4,60140.02920323704,87831,10878316,259788522,3,898.9919895770213,1325.764821091974,0.0,-10.979793495583126,9.390284776188633,0.0,-0.233660576442007,0.204321841503198,0.0,-0.6719312495995341,0.7406135266193891,0.0,1
4,39765.73425139859,51351,10513513,156471478,3,1126.6856280096836,277.16230725372674,0.0,1.17689724747214,-7.9698765829938845,0.0,0.258116465438479,-1.748913890005727,0.0,0.003124370324575,-0.999995119143126,0.0,1
4,82563.81609830773,144363,101443638,453246942,0,846.5633806223536,736.090329890689,0.0,9.13899691409218,-7.346427722464504,0.0,1.23289285487499,-0.9913009841504192,0.0,0.662367702687321,-0.7491789014893041,0.0,0
4,49569.28350492832,70275,50702754,212135850,16,1334.1777291965318,1049.371462067028,0.0,0.036938325977999,0.061488255059546,0.0,0.037706061743775,0.063298678936402,0.0,0.564789926630145,0.8252347173847661,0.0,1
4,24806.80939317122,9669,1096692,16283611,0,1313.9208489822283,1005.064422405904,0.0,-8.819553374798769,-13.89659177305482,0.0,0.228724308975491,0.360146546232236,0.0,-0.583646105204431,-0.8120081427422371,0.0,0
4,22297.94354163506,5211,1052112,7093574,9,257.8746471039293,105.1832956888751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16167925784685,0.9868433602057072,0.0,1
4,84068.09790473849,145575,101455758,455201827,10,768.5858270319392,1061.6044192426566,0.0,-6.462008591543346,3.9425483047178993,0.0,1.815938692009794,-1.107907458524988,0.0,-0.8127172964951661,0.58265821540384,0.0,1
4,43417.94809009344,56367,10563674,167294632,0,131.2322361094078,889.3957403198547,0.0,0.000422308607016,0.000422308607016,0.0,0.00011766583673,0.00011766583673,0.0,0.9970250678405952,-0.077077974139547,0.0,0
4,66739.49495227146,110631,101106316,344895908,3,437.6806999315573,335.0908855370465,0.0,0.443494927800238,-5.980253665233002,0.0,-0.189024716917911,2.549430873045667,0.0,0.015891954191463,-0.999873714922027,0.0,1
4,50103.03758965037,71307,10713074,218739425,0,141.34561064039238,862.9659006885109,0.0,1.7822794974000003e-05,1.7822794974000003e-05,0.0,0.000499612595151,0.000499612595151,0.0,-0.084121182709976,0.996455531681908,0.0,0
4,79687.56670808792,141363,101413637,448243630,0,175.6082076143078,732.9169394837161,0.0,2.039337727057593,-13.93880089462587,0.0,-0.071092445484802,0.486058791325497,0.0,0.126796335757856,-0.9919287722605792,0.0,0
4,50879.240303319646,73959,10739595,226054408,0,114.23977095347615,891.5698344444254,0.0,1.9311777512000003e-05,1.9311777512000003e-05,0.0,0.000108474655264,0.000108474655264,0.0,0.998174892928186,0.060389428940864,0.0,0
4,38411.24340093322,49647,10496473,152947838,0,838.7427978538834,746.4968467135698,0.0,7.715877055534644,-6.203318487699094,0.0,1.7606063062073711,-1.416529567001418,0.0,0.718023034734755,-0.6960193399542081,0.0,0
4,24835.75461343559,9723,1097232,16424473,0,391.9242276884402,269.9148112246028,0.0,10.77388463944882,3.721077406881,0.0,0.328969693513102,0.113643909866646,0.0,0.960779845792019,0.277312257067486,0.0,0
4,84017.01617164188,145629,101456298,455084911,0,800.7879142370574,532.531509909084,0.0,-10.945300868221748,4.136305843818251,0.0,0.098606892241505,-0.037259034074713,0.0,-0.9342131175999632,0.356715363986691,0.0,0
4,80844.86474018893,142533,101425338,450497568,10,279.8129063610459,237.2011778064479,0.0,39.82179173881542,36.86020536686854,0.0,1.510952148526979,1.385936065145658,0.0,0.242611976534233,0.666945150611022,0.0,1
4,78006.05354012619,139611,101396117,445292640,13,265.6004141460015,93.20037061070497,0.0,-2.141315239211404,11.83774191512614,0.0,-0.156768071222016,0.866681559460114,0.0,-0.129655019731683,0.99155916407362,0.0,1
4,45010.82937079249,59175,10591754,176142466,9,904.145902647755,484.3280079689383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.294141732147216,0.955761812069008,0.0,1
4,72365.11429632663,131055,101310557,425560575,14,342.1330774290235,1267.6494038779751,0.0,24.76716738235797,20.51314381053983,0.0,1.541283799170523,1.8185989802372664,0.0,-0.7804560568217771,0.666723596617248,0.0,1
